#,Column Name,IMAGE (single),IMAGE (single) MEF format,MEFIMAGE (mosaic) MEF format,IMAGE.FLUXMAP,SPECTRUM,CUBE.IFS,VISIBILITY,SRCTBL,MCATALOG,CATALOGTILE,CATALOG
9,OBJECT,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
10,RA DEC,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
26,BUNIT,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
31,CRVALi,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
32,CRPIXi,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
33,CTYPEi,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
34,CUNITi,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
35,CDi_j,NA,MM,MM,NA,NA,MM,NA,NA,NA,NA,NA
36,CSYERi,NA,RC,RC,NA,NA,RC,NA,NA,NA,NA,NA
37,CRDERi,NA,RC,RC,NA,NA,RC,NA,NA,NA,NA,NA
38,PHOTZP,NA,MM,MM,NA,NA,NA,NA,MA41,NA,NA,NA
39,PHOTZPER,NA,RC,RC,NA,NA,NA,NA,RC,NA,NA,NA
40,PHOTSYS,NA,MM,MM,NA,NA,NA,NA,MM,NA,NA,NA
55,NELEM,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
56,VOCLASS,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
57,VOPUB,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
58,TITLE,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
59,APERTURE,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
60,TELAPSE,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
61,TMID,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
62,SPEC_VAL,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
63,SPEC_BW,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA
75,HDUCLASS,NA,MM,NA,NA,NA,MM,NA,NA,NA,NA,NA
76,HDUCLASi,NA,MM,NA,NA,NA,MM,NA,NA,NA,NA,NA
77,HDUDOC,NA,MM,NA,NA,NA,MM,NA,NA,NA,NA,NA
78,HDUVERS,NA,MM,NA,NA,NA,MM,NA,NA,NA,NA,NA
79,SCIDATA,NA,MA46,NA,NA,NA,MA46,NA,NA,NA,NA,NA
80,ERRDATA,NA,MA46,NA,NA,NA,MA46,NA,NA,NA,NA,NA
81,QUALDATA,NA,MA46,NA,NA,NA,MA46,NA,NA,NA,NA,NA
82,CONFDATA,NA,MA46,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,BKGDATA,NA,MA46,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,BKGERR,NA,MA46,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,BKGCONF,NA,MA46,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,ABMAGLIM,NA,MM,MM,NA,NA,NA,NA,MM,NA,NA,NA
89,ABMAGSAT,NA,MM,MM,NA,NA,NA,NA,MM,NA,NA,NA
90,PSF_FWHM,NA,MM,MM,NA,NA,NA,NA,MM,NA,NA,NA
91,ELLIPTIC,NA,M49,M49,NA,NA,NA,NA,M49,NA,NA,NA
97,ARCFILE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE
98,CHECKSUM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,NA
99,DATASUM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,NA
100,ORIGFILE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE
101,P3ORIG,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE
115,TFIELDS,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
116,TTYPEi,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
117,TFORMi,NA,NA,NA,NA,MM,NA,MM,MM,MM,MM,MM
118,TCOMMi,NA,NA,NA,NA,OP,NA,OP,OP,MM,MM,MM
119,TUNITi,NA,NA,NA,NA,M61,NA,MA60,MA60,M61,M61,M61
120,TUTYPi,NA,NA,NA,NA,M62,NA,NA,NA,NA,NA,NA
121,TUCDi,NA,NA,NA,NA,MM,NA,OP,OP,MM,MM,MM
122,TDMINi,NA,NA,NA,NA,MA63,NA,OP,OP,OP,OP,OP
123,TDMAXi,NA,NA,NA,NA,MA63,NA,OP,OP,OP,OP,OP
124,TNULLi,NA,NA,NA,NA,NA,NA,OP,OP,MA64,MA64,MA64
125,EXTNAME,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65,MA65
126,TZEROi,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
127,TSCALi,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
128,EXTVER,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
129,EXTLEVEL,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO
