Filename,MJD-OBS
SPHER.2021-08-21T01:01:47.647.html,MJD-OBS =   59447.04291258 / 2021-08-21T01:01:47.6469
SPHER.2021-08-21T01:04:03.596.html,MJD-OBS =   59447.04448606 / 2021-08-21T01:04:03.5959
SPHER.2021-08-21T01:06:19.624.html,MJD-OBS =   59447.04606046 / 2021-08-21T01:06:19.6237
SPHER.2021-08-21T01:08:36.633.html,MJD-OBS =   59447.04764621 / 2021-08-21T01:08:36.6325
SPHER.2021-08-21T01:13:09.585.html,MJD-OBS =   59447.05080538 / 2021-08-21T01:13:09.5850
SPHER.2021-08-21T01:22:14.652.html,MJD-OBS =   59447.05711403 / 2021-08-21T01:22:14.6521
SPHER.2021-08-21T01:26:47.598.html,MJD-OBS =   59447.06027312 / 2021-08-21T01:26:47.5972
SPHER.2021-08-21T01:29:04.645.html,MJD-OBS =   59447.06185932 / 2021-08-21T01:29:04.6451
SPHER.2021-08-21T01:38:11.595.html,MJD-OBS =   59447.06818976 / 2021-08-21T01:38:11.5954
SPHER.2021-08-21T01:47:16.646.html,MJD-OBS =   59447.07449822 / 2021-08-21T01:47:16.6463
SPHER.2021-08-21T01:49:32.635.html,MJD-OBS =   59447.07607216 / 2021-08-21T01:49:32.6344
