Filename	MJD-OBS
SPHER.2021-08-21T01:01:47.647.html	MJD-OBS =   59447.04291258 
SPHER.2021-08-21T01:04:03.596.html	MJD-OBS =   59447.04448606 
SPHER.2021-08-21T01:06:19.624.html	MJD-OBS =   59447.04606046 
SPHER.2021-08-21T01:08:36.633.html	MJD-OBS =   59447.04764621 
SPHER.2021-08-21T01:13:09.585.html	MJD-OBS =   59447.05080538 
SPHER.2021-08-21T01:22:14.652.html	MJD-OBS =   59447.05711403 
SPHER.2021-08-21T01:26:47.598.html	MJD-OBS =   59447.06027312 
SPHER.2021-08-21T01:29:04.645.html	MJD-OBS =   59447.06185932 
SPHER.2021-08-21T01:38:11.595.html	MJD-OBS =   59447.06818976 
SPHER.2021-08-21T01:47:16.646.html	MJD-OBS =   59447.07449822 
SPHER.2021-08-21T01:49:32.635.html	MJD-OBS =   59447.07607216 
